;wykryte;nienaprawialne;niewykryte;bledy
951;6174;604;15;6189
952;6098;564;13;6111
953;6326;610;23;6349
954;6116;570;22;6138
955;6215;594;17;6232
956;6171;559;14;6185
957;6098;538;24;6122
958;6215;533;16;6231
959;6244;585;18;6262
960;6108;552;14;6122
961;6065;586;25;6090
962;6284;617;21;6305
963;6220;614;17;6237
964;6064;552;19;6083
965;6008;578;17;6025
966;6103;613;8;6111
967;6129;579;12;6141
968;6191;578;18;6209
969;6211;569;16;6227
970;6153;542;15;6168
971;6121;553;23;6144
972;6152;566;17;6169
973;6269;584;17;6286
974;6214;581;19;6233
975;6113;552;25;6138
976;6213;556;18;6231
977;6046;569;17;6063
978;6161;581;25;6186
979;6113;580;19;6132
980;6212;584;12;6224
981;6127;525;9;6136
982;6098;607;29;6127
983;6202;583;14;6216
984;6109;538;20;6129
985;6124;549;11;6135
986;6055;600;18;6073
987;6233;580;22;6255
988;6118;561;13;6131
989;6143;612;21;6164
990;6039;544;21;6060
991;6068;568;17;6085
992;6019;566;17;6036
993;6100;537;12;6112
994;6147;594;20;6167
995;6051;551;24;6075
996;6126;541;22;6148
997;6137;533;19;6156
998;6212;524;17;6229
999;6081;567;15;6096
